August 29 2014, The Python Console, console, August 10 2014
August 30 2014, Python Console II, console2, August 10 2014
September 3 2014, c01 - Hello World, c01hello, September 2 2014
September 3 2014, c02 - Hello Friend, c02hello, September 2 2014
September 3 2014, c03 - Calculate Pi, c03pforpi, September 2 2014
September 5 2014, Making Decisions, conditionals, September 3 2014
September 5 2014, Looping, looping, September 3 2014
September 5 2014, c04 - FizzBuzz, c04fizzbuzz, September 3 2014
September 6 2014, c12 - Multiplication Table, c12multiplicationtable, September 5 2014
September 9 2014, c05 - Calculating Areas, c05areas, September 5 2014
September 11 2014, c07 - String Jumble, c07stringjumble, September 5 2014
September 13 2014, c06 - Character Distributions, c06characterdistribution, September 5 2014
September 16 2014, c08 - Calculating Areas with Class, c08classdict, September 9 2014
September 16 2014, Introduction to Classes in Python, classintro, September 9 2014
September 18 2014, Exception Handling, exceptions, September 9 2014
September 18 2014, c09 - Exception Handling, c09exceptions, September 9 2014
September 20 2014, c11 - Cryptography, c11encryption, September 15 2014
September 23 2014, (OPTIONAL) GUI, tkinter, September 15 2014
September 23 2014, (OPTIONAL) p01 - GUI: Tk, p01tkcalculator, September 15 2014
September 27 2014, Introduction to Pygame, pygameintro, September 27 2014
September 27 2014, Pygame: Make it MOVE, pygameanimate, September 27 2014
September 27 2014, Encapsulating Display Objects as Sprites, pygamesprites, September 27 2014
September 30 2014, p02 - Conway's Life (Pygame Option 1), p02conwayslife, September 27 2014
September 30 2014, p05 - Platform Game (Pygame Option 2), p05pygameplatformer, September 27 2014
November 12 2014, Final Project Proposal, projectproposal, November 11 2014
March 15 2015, Game Trees, gametreesbasics, March 5 2015
March 15 2015, Simple Games, gametrees, March 5 2015
March 15 2015, p03 - Merels in ancient Rome, p03consolemerels, March 5 2015
April 5 2015, Game Trees with Pygame, pygametrees, March 15 2015
April 5 2015, p04 - Merels with Pygame, p04pygamemerels, March 15 2015

